
Correctly Classified Instances          38               38      %
Incorrectly Classified Instances        62               62      %
Kappa statistic                          0.1178
Mean absolute error                      0.1036
Root mean squared error                  0.2795
Relative absolute error                 95.805  %
Root relative squared error            118.821  %
Total Number of Instances              100     
=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.633     0.412      0.596     0.633     0.614      0.621    BUG
                 0.3       0.178      0.158     0.3       0.207      0.427    RFE
                 0.125     0.036      0.4       0.125     0.19       0.519    IMPROVEMENT
                 0         0          0         0         0          ?        DOCUMENTATION
                 0         0          0         0         0          0.5      BUILD_SYSTEM
                 0         0          0         0         0          0.5      REFACTORING
                 0.222     0.066      0.25      0.222     0.235      0.584    CLEANUP
                 0         0.061      0         0         0          0.464    SPEC
                 0         0          0         0         0          0.362    TEST
                 0         0          0         0         0          ?        BACKPORT
                 0         0          0         0         0          ?        TASK
                 0         0          0         0         0          ?        OTHER
                 0         0.108      0         0         0          0.433    DESIGN_DEFECT
Weighted Avg.    0.38      0.24       0.394     0.38      0.373      0.55 
