
Correctly Classified Instances          43               43      %
Incorrectly Classified Instances        57               57      %
Kappa statistic                          0.2455
Mean absolute error                      0.0875
Root mean squared error                  0.2831
Relative absolute error                 80.9424 %
Root relative squared error            120.348  %
Total Number of Instances              100     
=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.592     0.196      0.744     0.592     0.659      0.752    BUG
                 0.3       0.133      0.2       0.3       0.24       0.568    RFE
                 0.188     0.071      0.333     0.188     0.24       0.606    IMPROVEMENT
                 0         0          0         0         0          ?        DOCUMENTATION
                 0         0          0         0         0          0.505    BUILD_SYSTEM
                 0         0          0         0         0          0.535    REFACTORING
                 0.444     0.099      0.308     0.444     0.364      0.895    CLEANUP
                 0.5       0.082      0.111     0.5       0.182      0.546    SPEC
                 0         0          0         0         0          0.642    TEST
                 0         0          0         0         0          ?        BACKPORT
                 0         0          0         0         0          ?        TASK
                 0         0          0         0         0          ?        OTHER
                 0.429     0.129      0.2       0.429     0.273      0.702    DESIGN_DEFECT
Weighted Avg.    0.43      0.14       0.482     0.43      0.441      0.706
