
Correctly Classified Instances          37               37      %
Incorrectly Classified Instances        63               63      %
Kappa statistic                          0.1718
Mean absolute error                      0.0983
Root mean squared error                  0.3065
Relative absolute error                105.385  %
Root relative squared error            136.3686 %
Total Number of Instances              100     
=== Detailed Accuracy By Class ===

               TP Rate   FP Rate   Precision   Recall  F-Measure   ROC Area  Class
                 0.411     0.227      0.697     0.411     0.517      0.592    BUG
                 0.3       0.156      0.176     0.3       0.222      0.572    RFE
                 0         0.045      0         0         0          0.477    IMPROVEMENT
                 0.714     0.058      0.667     0.714     0.69       0.828    DOCUMENTATION
                 0         0          0         0         0          ?        BUILD_SYSTEM
                 0         0          0         0         0          ?        REFACTORING
                 0         0.01       0         0         0          0.495    CLEANUP
                 0         0.01       0         0         0          ?        SPEC
                 0         0          0         0         0          0.5      TEST
                 0         0          0         0         0          ?        BACKPORT
                 0         0          0         0         0          ?        TASK
                 0.25      0.292      0.034     0.25      0.061      0.479    OTHER
                 0         0          0         0         0          0.5      DESIGN_DEFECT
Weighted Avg.    0.37      0.168      0.503     0.37      0.411      0.601
